id,original_title,popularity,title,vote_average,release_year
8512,Devil in a Blue Dress,4.646132,Devil in a Blue Dress,6.3,1995
1572,Die Hard: With a Vengeance,15.138855,Die Hard: With a Vengeance,6.9,1995
13552,The Doom Generation,7.120806,The Doom Generation,5.6,1995
259209,Feast of July,0.523575,Feast of July,6.102169981916822,1995
6520,First Knight,15.178338,First Knight,5.9,1995
9073,Free Willy 2 - The Adventure Home,7.575098,Free Willy 2 - The Adventure Home,5.5,1995
10428,Hackers,14.810519000000001,Hackers,6.2,1995
17447,Jeffrey,3.196456,Jeffrey,6.5,1995
9886,Johnny Mnemonic,11.715867999999999,Johnny Mnemonic,5.5,1995
9482,Judge Dredd,8.184814999999999,Judge Dredd,5.4,1995
19326,Jury Duty,3.676921,Jury Duty,4.0,1995
9344,Kids,4.877872,Kids,6.8,1995
9071,Living in Oblivion,10.058328999999999,Living in Oblivion,7.2,1995
8973,Lord of Illusions,4.102409,Lord of Illusions,5.9,1995
15730,Love & Human Remains,0.354014,Love & Human Remains,7.0,1993
47608,Mad Love,2.624771,Mad Love,5.5,1995
2293,Mallrats,8.255469999999999,Mallrats,6.8,1995
9070,Mighty Morphin Power Rangers: The Movie,7.024227000000001,Mighty Morphin Power Rangers: The Movie,5.2,1995
68274,Moonlight and Valentino,1.01115,Moonlight and Valentino,5.6,1995
48787,Mute Witness,2.466066,Mute Witness,6.4,1995
34574,Nadja,7.720056,Nadja,5.9,1994
1642,The Net,13.304342000000002,The Net,5.6,1995
11472,Nine Months,8.482834,Nine Months,5.5,1995
36196,Party Girl,1.165039,Party Girl,5.8,1995
11980,The Prophecy,10.187623,The Prophecy,6.4,1995
58372,Reckless,0.11971300000000001,Reckless,10.0,1995
32646,Safe,8.180047,Safe,7.2,1995
10533,The Scarlet Letter,6.752119,The Scarlet Letter,5.5,1995
56088,The Show,0.15959600000000002,The Show,5.3,1995
10802,Showgirls,17.502375,Showgirls,4.9,1995
10149,Smoke,5.5529459999999995,Smoke,7.2,1995
18402,Something to Talk About,3.743212,Something to Talk About,5.7,1995
9348,Species,13.492845,Species,5.5,1995
139408,The Stars Fell on Henrietta,0.913522,The Stars Fell on Henrietta,6.6,1995
281,Strange Days,11.223055,Strange Days,6.8,1995
5967,Les parapluies de Cherbourg,8.133881,The Umbrellas of Cherbourg,7.6,1964
79593,The Tie That Binds,1.8204189999999998,The Tie That Binds,4.6,1995
47939,Three Wishes,11.002046,Three Wishes,6.1,1995
36834,Total Eclipse,4.546551999999999,Total Eclipse,6.5,1995
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446000000001,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,1995
3512,Under Siege 2: Dark Territory,7.490247,Under Siege 2: Dark Territory,5.6,1995
52856,Unstrung Heroes,2.8816889999999997,Unstrung Heroes,6.4,1995
77350,Unzipped,0.7860229999999999,Unzipped,6.0,1995
9560,A Walk in the Clouds,9.715639,A Walk in the Clouds,6.5,1995
9804,Waterworld,16.885184,Waterworld,5.9,1995
31611,White Man's Burden,1.8340990000000001,White Man's Burden,5.1,1995
65796,Wild Bill,8.922139,Wild Bill,5.9,1995
49805,The Browning Version,3.727644,The Browning Version,6.0,1994
26258,Bushwhacked,3.287036,Bushwhacked,4.9,1995
50797,Утомлённые солнцем,2.4860729999999998,Burnt by the Sun,6.7,1994
19155,Before the Rain,3.5256489999999996,Before the Rain,7.7,1994
76,Before Sunrise,11.304979,Before Sunrise,7.7,1995
11017,Billy Madison,6.638116,Billy Madison,6.2,1995
37141,The Babysitter,2.761837,The Babysitter,4.7,1995
9382,Boys on the Side,3.030309,Boys on the Side,6.3,1995
6715,The Cure,2.686342,The Cure,7.2,1995
18256,Castle Freak,2.2697700000000003,Castle Freak,5.8,1995
22625,Circle of Friends,2.605521,Circle of Friends,6.5,1995
2292,Clerks,10.513367,Clerks,7.4,1994
1909,Don Juan DeMarco,7.438934,Don Juan DeMarco,6.3,1994
8984,Disclosure,11.812244,Disclosure,5.9,1994
61813,Dream Man,0.155859,Dream Man,2.5,1995
4954,Drop Zone,9.579155,Drop Zone,5.1,1994
62488,Destiny Turns on the Radio,0.710671,Destiny Turns on the Radio,5.3,1995
10531,Death and the Maiden,5.484156,Death and the Maiden,7.1,1994
11929,Dolores Claiborne,5.8025,Dolores Claiborne,7.1,1995
8467,Dumb and Dumber,9.844558000000001,Dumb and Dumber,6.5,1994
10451,飲食男女,4.860016000000001,Eat Drink Man Woman,7.5,1994
20156,Exotica,5.378467,Exotica,6.5,1994
18395,Exit to Eden,4.322726,Exit to Eden,4.3,1994
522,Ed Wood,11.720358000000001,Ed Wood,7.3,1994
397,French Kiss,9.146544,French Kiss,6.2,1995
10525,Forget Paris,16.236745000000003,Forget Paris,6.1,1995
27985,Far from Home: The Adventures of Yellow Dog,2.657337,Far from Home: The Adventures of Yellow Dog,5.6,1995
15789,A Goofy Movie,10.177977,A Goofy Movie,6.7,1995
27303,Hideaway,8.182165,Hideaway,5.0,1995
21183,Fluke,4.953936,Fluke,6.6,1995
10954,Farinelli,8.935058,Farinelli,5.9,1994
47867,Gordy,0.398924,Gordy,3.0,1995
43475,Gumby: The Movie,0.090452,Gumby: The Movie,5.0,1995
72031,The Glass Shield,1.012197,The Glass Shield,5.4,1994
14275,Hoop Dreams,9.47666,Hoop Dreams,7.7,1994
1024,Heavenly Creatures,9.438042,Heavenly Creatures,6.9,1994
17207,Houseguest,2.688562,Houseguest,6.0,1995
13701,Immortal Beloved,7.983666,Immortal Beloved,6.9,1994
14819,Heavyweights,9.546707000000001,Heavyweights,6.0,1995
32631,The Hunted,2.756986,The Hunted,6.0,1995
11777,I.Q.,5.146351999999999,I.Q.,5.9,1994
628,Interview with the Vampire,11.970205,Interview with the Vampire,7.2,1994
87729,Jefferson in Paris,1.596058,Jefferson in Paris,5.2,1995
18713,The Jerky Boys,0.748846,The Jerky Boys,4.8,1995
6280,Junior,6.710215,Junior,4.7,1994
9061,Just Cause,9.195256,Just Cause,6.0,1995
37108,A Kid in King Arthur's Court,5.874511,A Kid in King Arthur's Court,4.3,1995
6071,Kiss of Death,7.797511999999999,Kiss of Death,5.7,1995
11,Star Wars,42.149696999999996,Star Wars,8.1,1977
9587,Little Women,9.774994,Little Women,7.0,1994
19101,A Little Princess,7.731725,A Little Princess,7.4,1995
49980,Ladybird Ladybird,0.8450799999999999,Ladybird Ladybird,7.4,1994
17961,L'Enfer,1.9483150000000002,L'Enfer,6.6,1994
18183,Como agua para chocolate,4.126083,Like Water for Chocolate,6.6,1992
4476,Legends of the Fall,12.199047,Legends of the Fall,7.2,1994
11008,Major Payne,9.253362,Major Payne,6.1,1995
47504,Little Odessa,1.8612919999999997,Little Odessa,6.4,1994
32325,Mi Vida Loca,1.788829,Mi Vida Loca,5.7,1994
43742,Love Affair,3.290192,Love Affair,4.3,1994
28313,Losing Isaiah,7.698525999999999,Losing Isaiah,6.4,1995
11318,The Madness of King George,4.81307,The Madness of King George,6.7,1994
3036,Frankenstein,14.287753,Mary Shelley's Frankenstein,6.1,1994
40490,Man of the House,2.558118,Man of the House,5.1,1995
24070,Mixed Nuts,2.899608,Mixed Nuts,5.2,1994
8986,Milk Money,3.770115,Milk Money,5.6,1994
10510,Miracle on 34th Street,5.831622,Miracle on 34th Street,6.4,1994
17402,Miami Rhapsody,1.1372659999999999,Miami Rhapsody,5.6,1995
38722,My Family,3.1212880000000003,My Family,7.0,1995
8438,Murder in the First,9.518564,Murder in the First,6.9,1995
11593,Nobody's Fool,2.891269,Nobody's Fool,7.0,1994
1945,Nell,5.930957,Nell,6.1,1994
39310,New Jersey Drive,0.629955,New Jersey Drive,6.9,1995
109560,New York Cop,0.004536999999999999,New York Cop,5.936876355748372,1993
56428,Beyond Bedlam,0.42695200000000005,Beyond Bedlam,4.0,1994
63105,Nemesis 2 - Nebula,1.466491,Nemesis 2 - Nebula,4.6,1995
131957,Nina Takes a Lover,0.769522,Nina Takes a Lover,7.4,1995
241,Natural Born Killers,11.226856,Natural Born Killers,6.9,1994
9058,Only You,4.936761,Only You,6.4,1994
527,Once Were Warriors,4.025276,Once Were Warriors,7.6,1994
18220,Poison Ivy II: Lily,6.448039,Poison Ivy II: Lily,4.6,1996
6950,Outbreak,13.676444,Outbreak,6.4,1995
101,Léon,20.477329,Leon: The Professional,8.2,1994
63020,The Perez Family,1.4335440000000002,The Perez Family,6.6,1995
2307,A Pyromaniac's Love Story,0.46330699999999997,A Pyromaniac's Love Story,7.0,1995
680,Pulp Fiction,140.95023600000002,Pulp Fiction,8.3,1994
41478,Panther,7.1601490000000005,Panther,6.4,1995
25296,Pushing Hands,1.638622,Pushing Hands,6.1,1992
40156,Priest,1.881932,Priest,6.4,1994
11450,Quiz Show,7.772505000000001,Quiz Show,7.1,1994
30304,Picture Bride,1.296912,Picture Bride,7.4,1995
10452,La Reine Margot,4.405405,Queen Margot,7.0,1994
12106,The Quick and the Dead,7.54701,The Quick and the Dead,6.2,1995
161495,Roommates,3.395867,Roommates,6.4,1995
3586,Prêt-à-Porter,6.2594330000000005,Prêt-à-Porter,5.3,1994
110,Trois couleurs : Rouge,7.832755000000001,Three Colors: Red,7.8,1994
108,Trois couleurs : Bleu,8.843517,Three Colors: Blue,7.7,1993
109,Trois couleurs : Blanc,6.5898,Three Colors: White,7.3,1994
159185,Pao Da Shuang Deng,0.07825700000000001,"Red Firecracker, Green Firecracker",7.0,1994
36357,Rent-a-Kid,1.155255,Rent-a-Kid,5.1,1995
92769,Relative Fear,0.499601,Relative Fear,4.7,1995
28033,Stuart Saves His Family,1.390885,Stuart Saves His Family,5.0,1995
22586,The Swan Princess,8.910461999999999,The Swan Princess,6.5,1994
14334,The Secret of Roan Inish,1.7504810000000002,The Secret of Roan Inish,6.1,1994
2636,The Specialist,10.388183,The Specialist,5.5,1994
2164,Stargate,13.328923999999999,Stargate,6.8,1994
11395,The Santa Clause,9.665424,The Santa Clause,6.3,1994
278,The Shawshank Redemption,51.645403,The Shawshank Redemption,8.5,1994
9905,Shallow Grave,8.223025999999999,Shallow Grave,7.0,1994
87078,Suture,1.298224,Suture,6.0,1993
12527,Fresa y chocolate,1.7771970000000001,Strawberry and Chocolate,7.1,1993
20306,Swimming with Sharks,5.869261,Swimming with Sharks,6.7,1994
36614,The Sum of Us,1.407427,The Sum of Us,6.0,1994
27993,Senior Trip,5.05806,Senior Trip,5.7,1995
31439,活着,5.2606269999999995,To Live,7.7,1994
9067,Tank Girl,7.602086999999999,Tank Girl,5.5,1995
9059,Tales from the Crypt: Demon Knight,9.455342,Tales from the Crypt: Demon Knight,6.7,1995
193,Star Trek: Generations,8.105708,Star Trek: Generations,6.4,1994
25066,Tales from the Hood,2.86007,Tales from the Hood,5.4,1995
46797,Tom & Viv,0.7042039999999999,Tom & Viv,5.8,1994
12122,Village of the Damned,6.529879,Village of the Damned,5.6,1995
11381,Tommy Boy,11.971318,Tommy Boy,6.8,1995
32636,Vanya on 42nd Street,7.039846000000001,Vanya on 42nd Street,6.1,1994
36141,The Underneath,2.059771,The Underneath,5.6,1995
95963,The Walking Dead,0.620873,The Walking Dead,6.6,1995
1587,What's Eating Gilbert Grape,10.3919,What's Eating Gilbert Grape,7.5,1993
9271,Virtuosity,5.1883989999999995,Virtuosity,5.4,1995
2064,While You Were Sleeping,15.783615,While You Were Sleeping,6.5,1995
19855,The War,3.9085959999999997,The War,6.3,1994
60855,Double Happiness,0.372239,Double Happiness,5.5,1994
236,Muriel's Wedding,5.254847,Muriel's Wedding,6.9,1994
48287,The Baby-Sitters Club,2.15805,The Baby-Sitters Club,5.3,1995
3049,Ace Ventura: Pet Detective,11.247957000000001,Ace Ventura: Pet Detective,6.4,1994
2759,"The Adventures of Priscilla, Queen of the Desert",8.328596000000001,"The Adventures of Priscilla, Queen of the Desert",7.2,1994
12635,Backbeat,2.487951,Backbeat,6.2,1994
10497,Bitter Moon,11.298195,Bitter Moon,7.0,1992
11382,Bullets Over Broadway,5.72288,Bullets Over Broadway,7.0,1994
9331,Clear and Present Danger,7.5132449999999995,Clear and Present Danger,6.4,1994
10731,The Client,15.263829000000001,The Client,6.4,1994
10464,"Corrina, Corrina",6.924689,"Corrina, Corrina",6.4,1994
34152,Crooklyn,2.5330220000000003,Crooklyn,6.7,1994
9495,The Crow,15.799335999999998,The Crow,7.3,1994
29973,Cobb,2.5833630000000003,Cobb,6.1,1994
888,The Flintstones,15.019585999999999,The Flintstones,5.0,1994
13,Forrest Gump,48.307194,Forrest Gump,8.2,1994
712,Four Weddings and a Funeral,8.990345,Four Weddings and a Funeral,6.6,1994
16295,Higher Learning,7.817811,Higher Learning,6.4,1995
48992,I Like It Like That,0.28929499999999997,I Like It Like That,6.3,1994
10879,I Love Trouble,3.570874,I Love Trouble,5.3,1994
10660,It Could Happen to You,11.272072999999999,It Could Happen to You,6.1,1994
10714,The Jungle Book,10.714235,The Jungle Book,5.9,1994
41647,Die Macht der Bilder: Leni Riefenstahl,0.5688840000000001,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,1993
8587,The Lion King,21.605760999999998,The Lion King,8.0,1994
1689,Little Buddha,5.681522,Little Buddha,6.0,1993
11596,New Nightmare,9.860522,New Nightmare,6.4,1994
854,The Mask,14.134879999999999,The Mask,6.6,1994
9359,Maverick,15.050326,Maverick,6.6,1994
23333,Mrs. Parker and the Vicious Circle,4.739054,Mrs. Parker and the Vicious Circle,6.3,1994
36593,The Naked Gun 33⅓: The Final Insult,10.587232,The Naked Gun 33⅓: The Final Insult,6.4,1994
12280,The Paper,4.006063,The Paper,6.1,1994
2788,Reality Bites,6.5145919999999995,Reality Bites,6.5,1994
10427,Red Rock West,5.137903,Red Rock West,6.4,1993
11011,Ri¢hie Ri¢h,6.595255,Ri¢hie Ri¢h,5.4,1994
49803,Safe Passage,4.931565,Safe Passage,4.9,1994
8987,The River Wild,10.511241,The River Wild,6.1,1994
1637,Speed,10.859292,Speed,6.8,1994
15128,Speechless,2.3342259999999997,Speechless,5.5,1994
8831,Timecop,8.907074,Timecop,5.5,1994
36955,True Lies,11.396099000000001,True Lies,6.8,1994
10449,When a Man Loves a Woman,4.322544000000001,When a Man Loves a Woman,6.0,1994
10395,Wolf,14.063845,Wolf,6.0,1994
12160,Wyatt Earp,9.277147,Wyatt Earp,6.5,1994
40480,Bad Company,0.912415,Bad Company,4.9,1995
52038,A Man of No Importance,0.406113,A Man of No Importance,6.5,1994
29444,S.F.W.,2.5045290000000002,S.F.W.,6.1,1994
26352,A Low Down Dirty Shame,3.0215259999999997,A Low Down Dirty Shame,6.0,1994
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",0.054148,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,1994
41580,Le colonel Chabert,0.934312,Colonel Chabert,5.9,1994
315,"Faster, Pussycat! Kill! Kill!",4.220541000000001,"Faster, Pussycat! Kill! Kill!",6.5,1965
22067,Jason's Lyric,0.912909,Jason's Lyric,5.9,1994
18242,The Secret Adventures of Tom Thumb,0.381704,The Secret Adventures of Tom Thumb,7.1,1993
11667,Street Fighter,13.584489999999999,Street Fighter,4.1,1994
32502,Coldblooded,2.342756,Coldblooded,6.7,1995
267188,Desert Winds,0.251223,Desert Winds,5.980826446280995,1997
28732,Fall Time,1.108494,Fall Time,6.3,1995
75555,The Fear,0.268043,The Fear,3.4,1995
42981,Frank and Ollie,0.14235699999999998,Frank and Ollie,7.5,1995
278939,Girl in the Cadillac,0.40539200000000003,Girl in the Cadillac,10.0,1995
291731,Homage,0.014925,Homage,6.102169981916822,1995
226229,Mirage,0.30295700000000003,Mirage,4.0,1995
203119,Open Season,0.012456,Open Season,5.834863945578239,1996
172923,Dos Crímenes,0.23337600000000003,Dos Crímenes,5.0,1995
316098,Brother Minister: The Assassination of Malcolm X,0.0368,Brother Minister: The Assassination of Malcolm X,4.0,1995
8011,Highlander III: The Sorcerer,6.8666339999999995,Highlander: The Final Dimension,4.5,1994
171857,Federal Hill,0.100685,Federal Hill,5.0,1995
2654,In the Mouth of Madness,8.497643,In the Mouth of Madness,7.1,1994
18069,8 Seconds,1.888534,8 Seconds,7.2,1994
19092,Above the Rim,4.38154,Above the Rim,6.7,1994
2758,Addams Family Values,17.555909,Addams Family Values,6.5,1993
38129,Martin Lawrence: You So Crazy,0.394194,Martin Lawrence: You So Crazy,4.5,1994
10436,The Age of Innocence,8.013617,The Age of Innocence,7.0,1993
13595,Airheads,7.09232,Airheads,5.8,1994
46094,The Air Up There,1.8962729999999999,The Air Up There,5.1,1994
9409,Another Stakeout,12.967239,Another Stakeout,4.9,1993
11853,Bad Girls,14.644772,Bad Girls,4.6,1994
16771,Barcelona,1.632711,Barcelona,6.6,1994
46924,Being Human,2.783872,Being Human,5.0,1994
11041,The Beverly Hillbillies,5.673735,The Beverly Hillbillies,5.0,1993
306,Beverly Hills Cop III,11.787784,Beverly Hills Cop III,5.5,1994
14522,Black Beauty,8.398845,Black Beauty,6.6,1994
26203,Blink,3.0028200000000003,Blink,6.3,1994
178,Blown Away,13.155071,Blown Away,6.0,1994
19819,Blue Chips,6.131056,Blue Chips,5.7,1994
57834,Blue Sky,4.993829,Blue Sky,6.1,1994
4722,Body Snatchers,6.559692999999999,Body Snatchers,5.8,1993
18215,Boxing Helena,4.304224,Boxing Helena,4.5,1993
